,Name,Unit,Year,N,Mean_Value,Characteristic,Description
8376,Tebuconazole,ng/l,2013,9,1,Tebuconazole,Poison
8377,Tebuconazole,ng/l,2014,5,1,Tebuconazole,Poison
8378,Tebuconazole,ng/l,2015,1,1,Tebuconazole,Poison
8379,Tebuconazole,ng/l,2016,4,1,Tebuconazole,Poison
8380,Tebuthiuron,,1998,14,1,Tebuthiuron,Poison
8381,Tebuthiuron,,2000,11,1,Tebuthiuron,Poison
8382,Tebuthiuron,,2003,4,1,Tebuthiuron,Poison
8383,Tebuthiuron,,2004,2,1,Tebuthiuron,Poison
8384,Tebuthiuron,,2006,1,1,Tebuthiuron,Poison
8385,Tebuthiuron,,2007,3,1,Tebuthiuron,Poison
8386,Tebuthiuron,,2008,14,1,Tebuthiuron,Poison
8387,Tebuthiuron,,2010,1,1,Tebuthiuron,Poison
8388,Tebuthiuron,,2011,1,1,Tebuthiuron,Poison
8389,Tebuthiuron,,2013,1,1,Tebuthiuron,Poison
8390,Tebuthiuron,,2015,5,1,Tebuthiuron,Poison
8391,Tebuthiuron,,2017,1,1,Tebuthiuron,Poison
8392,Tebuthiuron,% recovery,2012,4,2750.25,Tebuthiuron,Poison
8393,Tebuthiuron,% recovery,2013,2,5864,Tebuthiuron,Poison
8394,Tebuthiuron,% recovery,2016,2,14919,Tebuthiuron,Poison
8395,Tebuthiuron,ng/l,2010,10,1,Tebuthiuron,Poison
8396,Tebuthiuron,ng/l,2012,8,370.5,Tebuthiuron,Poison
8397,Tebuthiuron,ng/l,2013,9,1,Tebuthiuron,Poison
8398,Tebuthiuron,ng/l,2014,5,1,Tebuthiuron,Poison
8399,Tebuthiuron,ng/l,2015,1,1,Tebuthiuron,Poison
8400,Tebuthiuron,ng/l,2016,4,1,Tebuthiuron,Poison
8401,Tebuthiuron,ug/l,2000,1,299,Tebuthiuron,Poison
8509,Terbacil,,1998,14,1,Terbacil,Poison
8510,Terbacil,,2000,12,1,Terbacil,Poison
8511,Terbacil,,2003,3,1,Terbacil,Poison
8512,Terbacil,,2004,2,1,Terbacil,Poison
8513,Terbacil,,2007,3,1,Terbacil,Poison
8514,Terbacil,,2008,13,1,Terbacil,Poison
8515,Terbacil,,2010,1,1,Terbacil,Poison
8516,Terbacil,,2013,1,1,Terbacil,Poison
8517,Terbacil,,2015,5,1,Terbacil,Poison
8518,Terbacil,,2017,1,1,Terbacil,Poison
8519,Terbacil,ug/l,2003,1,425,Terbacil,Poison
8520,Terbufos,,1998,14,1,Terbufos,Poison
8521,Terbufos,,2000,12,1,Terbufos,Poison
8522,Terbufos,,2003,4,1,Terbufos,Poison
8523,Terbufos,,2004,2,1,Terbufos,Poison
8524,Terbufos,,2006,1,1,Terbufos,Poison
8525,Terbufos,,2007,3,1,Terbufos,Poison
8526,Terbufos,,2008,14,1,Terbufos,Poison
8527,Terbufos,,2010,1,1,Terbufos,Poison
8528,Terbufos,,2011,1,1,Terbufos,Poison
8529,Terbufos,,2013,1,1,Terbufos,Poison
8530,Terbufos,,2015,5,1,Terbufos,Poison
8531,Terbufos,,2017,1,1,Terbufos,Poison
8532,Terbuthylazine,,2006,1,1,Terbuthylazine,Poison
8533,Terbuthylazine,,2007,3,1,Terbuthylazine,Poison
8534,Terbuthylazine,,2008,14,1,Terbuthylazine,Poison
8535,Terbuthylazine,,2010,1,1,Terbuthylazine,Poison
8536,Terbuthylazine,,2011,1,1,Terbuthylazine,Poison
8537,Terbuthylazine,,2013,1,1,Terbuthylazine,Poison
8538,Terbuthylazine,,2015,5,1,Terbuthylazine,Poison
8539,Terbuthylazine,,2017,1,1,Terbuthylazine,Poison
8540,Terbuthylazine,%,1998,14,10358.5714285714,Terbuthylazine,Poison
8541,Terbuthylazine,% recovery,2012,4,6046.5,Terbuthylazine,Poison
8542,Terbuthylazine,% recovery,2013,2,6212.5,Terbuthylazine,Poison
8543,Terbuthylazine,% recovery,2016,2,2634,Terbuthylazine,Poison
8544,Terbuthylazine,ng/l,2010,10,1,Terbuthylazine,Poison
8545,Terbuthylazine,ng/l,2012,8,1,Terbuthylazine,Poison
8546,Terbuthylazine,ng/l,2013,9,1,Terbuthylazine,Poison
8547,Terbuthylazine,ng/l,2014,5,1,Terbuthylazine,Poison
8548,Terbuthylazine,ng/l,2015,1,1,Terbuthylazine,Poison
8549,Terbuthylazine,ng/l,2016,4,1,Terbuthylazine,Poison
8611,Thiobencarb,,1998,14,1,Thiobencarb,Poison
8612,Thiobencarb,,2000,12,1,Thiobencarb,Poison
8613,Thiobencarb,,2003,4,1,Thiobencarb,Poison
8614,Thiobencarb,,2004,2,1,Thiobencarb,Poison
8615,Thiobencarb,,2006,1,1,Thiobencarb,Poison
8616,Thiobencarb,,2007,3,1,Thiobencarb,Poison
8617,Thiobencarb,,2008,14,1,Thiobencarb,Poison
8618,Thiobencarb,,2010,1,1,Thiobencarb,Poison
8619,Thiobencarb,,2011,1,1,Thiobencarb,Poison
8620,Thiobencarb,,2013,1,1,Thiobencarb,Poison
8621,Thiobencarb,,2015,5,1,Thiobencarb,Poison
8622,Thiobencarb,,2017,1,1,Thiobencarb,Poison
8961,Toxaphene,,1988,13,1,Toxaphene,Poison
8962,Toxaphene,,1989,4,1,Toxaphene,Poison
8963,Toxaphene,,1990,1,1,Toxaphene,Poison
8964,Toxaphene,,1999,4,1,Toxaphene,Poison
8965,Toxaphene,ug/l,1986,3,1,Toxaphene,Poison
8966,Toxaphene,ug/l,1987,3,1,Toxaphene,Poison
8967,Toxaphene,ug/l,1988,6,1,Toxaphene,Poison
8968,Toxaphene,ug/l,1989,10,1,Toxaphene,Poison
8969,Toxaphene,ug/l,1990,5,1,Toxaphene,Poison
8970,Toxaphene,ug/l,1991,2,1,Toxaphene,Poison
8971,Toxaphene,ug/l,1992,1,1,Toxaphene,Poison
8972,Toxaphene,ug/l,1993,1,1,Toxaphene,Poison
8973,Toxaphene,ug/l,1999,5,1,Toxaphene,Poison
8974,Toxaphene,ug/l,2006,2,1,Toxaphene,Poison
8975,Toxaphene,ug/l,2012,1,1,Toxaphene,Poison
8996,"trans-1,3-Dichloropropene",,1989,5,1,"trans-1,3-Dichloropropene",Poison
8997,"trans-1,3-Dichloropropene",,1998,13,1,"trans-1,3-Dichloropropene",Poison
8998,"trans-1,3-Dichloropropene",,2003,4,1,"trans-1,3-Dichloropropene",Poison
8999,"trans-1,3-Dichloropropene",,2004,2,1,"trans-1,3-Dichloropropene",Poison
9000,"trans-1,3-Dichloropropene",,2006,1,1,"trans-1,3-Dichloropropene",Poison
9001,"trans-1,3-Dichloropropene",,2007,3,1,"trans-1,3-Dichloropropene",Poison
9002,"trans-1,3-Dichloropropene",,2008,14,1,"trans-1,3-Dichloropropene",Poison
9003,"trans-1,3-Dichloropropene",,2010,1,1,"trans-1,3-Dichloropropene",Poison
9004,"trans-1,3-Dichloropropene",,2011,1,1,"trans-1,3-Dichloropropene",Poison
9005,"trans-1,3-Dichloropropene",,2013,1,1,"trans-1,3-Dichloropropene",Poison
9006,"trans-1,3-Dichloropropene",,2015,5,1,"trans-1,3-Dichloropropene",Poison
9007,"trans-1,3-Dichloropropene",,2017,1,1,"trans-1,3-Dichloropropene",Poison
9008,"trans-1,3-Dichloropropene",ug/l,1990,2,1,"trans-1,3-Dichloropropene",Poison
9009,"trans-1,3-Dichloropropene",ug/l,1995,1,1,"trans-1,3-Dichloropropene",Poison
9010,"trans-1,3-Dichloropropene",ug/l,2001,1,1,"trans-1,3-Dichloropropene",Poison
9011,"trans-1,3-Dichloropropene",ug/l,2007,1,1,"trans-1,3-Dichloropropene",Poison
9012,"trans-1,3-Dichloropropene",ug/l,2008,1,1,"trans-1,3-Dichloropropene",Poison
9013,"trans-1,3-Dichloropropene",ug/l,2012,1,1,"trans-1,3-Dichloropropene",Poison
9048,Triclopyr,,1998,13,1,Triclopyr,Poison
9049,Triclopyr,,2007,3,1,Triclopyr,Poison
9050,Triclopyr,,2008,13,1,Triclopyr,Poison
9051,Triclopyr,,2010,1,1,Triclopyr,Poison
9052,Triclopyr,,2013,1,1,Triclopyr,Poison
9053,Triclopyr,,2015,5,1,Triclopyr,Poison
9054,Triclopyr,,2017,1,1,Triclopyr,Poison
9055,Triclopyr,% recovery,2012,4,8870.25,Triclopyr,Poison
9056,Triclopyr,% recovery,2013,2,4791,Triclopyr,Poison
9057,Triclopyr,% recovery,2016,2,14786,Triclopyr,Poison
9058,Triclopyr,ng/l,2010,8,1,Triclopyr,Poison
9059,Triclopyr,ng/l,2012,8,1,Triclopyr,Poison
9060,Triclopyr,ng/l,2013,9,1,Triclopyr,Poison
9061,Triclopyr,ng/l,2014,5,1,Triclopyr,Poison
9062,Triclopyr,ng/l,2015,1,1,Triclopyr,Poison
9063,Triclopyr,ng/l,2016,4,1,Triclopyr,Poison
9064,Triclosan,,2007,3,1,Triclosan,Poison
9065,Triclosan,,2008,12,1,Triclosan,Poison
9066,Triclosan,,2014,4,1,Triclosan,Poison
9067,Triclosan,,2015,2,1,Triclosan,Poison
9068,Triclosan,% recovery,2012,4,8839.25,Triclosan,Poison
9069,Triclosan,% recovery,2013,2,6549.5,Triclosan,Poison
9070,Triclosan,% recovery,2016,2,15125,Triclosan,Poison
9071,Triclosan,ng/l,2012,8,1,Triclosan,Poison
9072,Triclosan,ng/l,2013,16,1,Triclosan,Poison
9073,Triclosan,ng/l,2014,10,1,Triclosan,Poison
9074,Triclosan,ng/l,2015,1,1,Triclosan,Poison
9075,Triclosan,ng/l,2016,4,1,Triclosan,Poison
9076,Triclosan,ug/l,2010,10,132.7,Triclosan,Poison
9077,Trifluralin,,1989,10,1,Trifluralin,Poison
9078,Trifluralin,,1990,1,1,Trifluralin,Poison
9079,Trifluralin,,1998,14,1,Trifluralin,Poison
9080,Trifluralin,,2000,12,1,Trifluralin,Poison
9081,Trifluralin,,2003,4,1,Trifluralin,Poison
9082,Trifluralin,,2004,2,1,Trifluralin,Poison
9083,Trifluralin,,2006,1,1,Trifluralin,Poison
9084,Trifluralin,,2007,3,1,Trifluralin,Poison
9085,Trifluralin,,2008,14,1,Trifluralin,Poison
9086,Trifluralin,,2010,1,1,Trifluralin,Poison
9087,Trifluralin,,2011,1,1,Trifluralin,Poison
9088,Trifluralin,ug/l,1991,2,1,Trifluralin,Poison
9089,Trifluralin,ug/l,1992,1,1,Trifluralin,Poison
