"","x"
"216","USGS-400325111552501"
"217","USGS-400326111441201"
"218","USGS-400329111435801"
"219","USGS-400330111451600"
"220","USGS-400331111270601"
"221","USGS-400347111450001"
"222","USGS-400351111445801"
"223","USGS-400400111401501"
"224","USGS-400407111375101"
"225","USGS-400412111395001"
"226","USGS-400414111415201"
"227","USGS-400417111543501"
"228","USGS-400422111454201"
"229","USGS-400423111453301"
"230","USGS-400423111454001"
"231","USGS-400424111413301"
"232","USGS-400428111394201"
"233","USGS-400430111394301"
"234","USGS-400430111480601"
"235","USGS-400440111460601"
"236","USGS-400440111575901"
"237","USGS-400440111582801"
"238","USGS-400442111415301"
"239","USGS-400443111432901"
"240","USGS-400450111441201"
"241","USGS-400454111345801"
"242","USGS-400454111361501"
"243","USGS-400458111404301"
"244","USGS-400459111211101"
"245","USGS-400509111434401"
"246","USGS-400510111445301"
"247","USGS-400512111352301"
"248","USGS-400513111572801"
"249","USGS-400517111380901"
"250","USGS-400520111343701"
"251","USGS-400522111434001"
"252","USGS-400527111385700"
"253","USGS-400527111392401"
"254","USGS-400528111392401"
"255","USGS-400530111450001"
"256","USGS-400535111415301"
"257","USGS-400536111435201"
"258","USGS-400537111444401"
"259","USGS-400540111363901"
"260","USGS-400544111364101"
"261","USGS-400553111431701"
"262","USGS-400554111463101"
"263","USGS-400555111405401"
"264","USGS-400557111411001"
"265","USGS-400600111460001"
"266","USGS-400600111581001"
"267","USGS-400600111581801"
"268","USGS-400602111581201"
"269","USGS-400602111581202"
"270","USGS-400603111425901"
"271","USGS-400603111435101"
"272","USGS-400604111424001"
"273","USGS-400613111404401"
"274","USGS-400615111404201"
"275","USGS-400622111421801"
"276","USGS-400623111353001"
"277","USGS-400625111335801"
"278","USGS-400630111400101"
"279","USGS-400634111374701"
"280","USGS-400634111441401"
"281","USGS-400649111455201"
"282","USGS-400651111473100"
"283","USGS-400652111424001"
"284","USGS-400653111341001"
"285","USGS-400654111374401"
"286","USGS-400654111445001"
"287","USGS-400655111433501"
"288","USGS-400657111405401"
"289","USGS-400703111442301"
"290","USGS-400706111414601"
"291","USGS-400708111431001"
"292","USGS-400716111371801"
"293","USGS-400716111460601"
"294","USGS-400718111431301"
"295","USGS-400720111434501"
"296","USGS-400721111334901"
"297","USGS-400721111384901"
"298","USGS-400722111434901"
"299","USGS-400723111460601"
"300","USGS-400724111395001"
"301","USGS-400724111412001"
"302","USGS-400728111434501"
"303","USGS-400736111394001"
"304","USGS-400736112024201"
"305","USGS-400747111434901"
"306","USGS-400747111441601"
"307","USGS-400751111392201"
"308","USGS-400751111392202"
"309","USGS-400752111343801"
"310","USGS-400752111384601"
"311","USGS-400752111385601"
"312","USGS-400754111411901"
"313","USGS-400754111450101"
"314","USGS-400759111371101"
"315","USGS-400800111452401"
"316","USGS-400800111481001"
"317","USGS-400805111444301"
"318","USGS-400805111445401"
"319","USGS-400810111310801"
"320","USGS-400812111460401"
"321","USGS-400812111494301"
"322","USGS-400815111353501"
"323","USGS-400817111400101"
"324","USGS-400818111492201"
"325","USGS-400819111480001"
"326","USGS-400823111453401"
"327","USGS-400825111355001"
"328","USGS-400827111415601"
"329","USGS-400827111480401"
"330","USGS-400833111381001"
"331","USGS-400835111433001"
"332","USGS-400836111435001"
"333","USGS-400838111402501"
"334","USGS-400838111435701"
"335","USGS-400840111340501"
"336","USGS-400840111351201"
"337","USGS-400841111422001"
"338","USGS-400841111481101"
"339","USGS-400843111482301"
"340","USGS-400845111335201"
"341","USGS-400845111482500"
"342","USGS-400846111482101"
"343","USGS-400851111373501"
"344","USGS-400853111424301"
"345","USGS-400854111412401"
"346","USGS-400859111332001"
"347","USGS-400900111362701"
"348","USGS-400900111402301"
"349","USGS-400902111433701"
"350","USGS-400903111180001"
"351","USGS-400903111363301"
"352","USGS-400903111405801"
"353","USGS-400904111324901"
"354","USGS-400906111434701"
"355","USGS-400907111414501"
"356","USGS-400907111440701"
"357","USGS-400910111355401"
"358","USGS-400915111414401"
"359","USGS-400917111340201"
"360","USGS-400920111430801"
"361","USGS-400923111404401"
"362","USGS-400927111354501"
"363","USGS-400929111395501"
"364","USGS-400932111394601"
"365","USGS-400932111415101"
"366","USGS-400933111411701"
"367","USGS-400941111352701"
"368","USGS-400942111342501"
"369","USGS-400943111380201"
"370","USGS-400945111365601"
"371","USGS-400948111162201"
"372","USGS-400953111373001"
"373","USGS-400959111363201"
"374","USGS-401002112023201"
"375","USGS-401004111380401"
"376","USGS-401012111354801"
"377","USGS-401021111362701"
"378","USGS-401022111363801"
"379","USGS-401030111385201"
"380","USGS-401034111480401"
"381","USGS-401035111480601"
"382","USGS-401036111480301"
"383","USGS-401040112052301"
"384","USGS-401059112010701"
"385","USGS-401101111364201"
"386","USGS-401115111381301"
"387","USGS-401129111375001"
"388","USGS-401130111380501"
"389","USGS-401149111375401"
"390","USGS-401154111373701"
"391","USGS-401156111374601"
"392","USGS-401202111382301"
"393","USGS-401208111392001"
"394","USGS-401209111382501"
"395","USGS-401300111523001"
"396","USGS-401305111403501"
"397","USGS-401307111405301"
"398","USGS-401310111411201"
"399","USGS-401325111410901"
"400","USGS-401326111410801"
"401","USGS-401327111462601"
"402","USGS-401331111370501"
"403","USGS-401332111414401"
"404","USGS-401333111382501"
"405","USGS-401343111515501"
"406","USGS-401400111433401"
"407","USGS-401402111515201"
"408","USGS-401406111432601"
"409","USGS-401410111432401"
"410","USGS-401410111435301"
"411","USGS-401414111435301"
"412","USGS-401415111441001"
"413","USGS-401416111414201"
"414","USGS-401416111431201"
"415","USGS-401420111373501"
"416","USGS-401420111394201"
"417","USGS-401420111430301"
"418","USGS-401428111431301"
"419","USGS-401432111454301"
"420","USGS-401442111402201"
"421","USGS-401443111413501"
"422","USGS-401447111433601"
"423","USGS-401507111561101"
"424","USGS-401509112055401"
"425","USGS-401510111390001"
"426","USGS-401516111425801"
"427","USGS-401525112045201"
"428","USGS-401537112054701"
"429","USGS-401540111405001"
"430","USGS-401541111425001"
"431","USGS-401543111411000"
"432","USGS-401548112060201"
"433","USGS-401556111390701"
"434","USGS-401557111372301"
"435","USGS-401557112053701"
"436","USGS-401600111510501"
"437","USGS-401600112023401"
"438","USGS-401600112054101"
"439","USGS-401604111435001"
"440","USGS-401607112023401"
"441","USGS-401608111434301"
"442","USGS-401610112053101"
"443","USGS-401612111403501"
"444","USGS-401613111463301"
"445","USGS-401620112054301"
"446","USGS-401621111432501"
"447","USGS-401628111435101"
"448","USGS-401632111433301"
"449","USGS-401640111434501"
"450","USGS-401648111420001"
"451","USGS-401653111400301"
"452","USGS-401654111400101"
"453","USGS-401658111491601"
"454","USGS-401658111521501"
"455","USGS-401702111594001"
"456","USGS-401725111442501"
"457","USGS-401729112052701"
"458","USGS-401730111594501"
"459","USGS-401730111594502"
"460","USGS-401734112052601"
"461","USGS-401738111440801"
"462","USGS-401738111440901"
"463","USGS-401739111593401"
"464","USGS-401742111400901"
"465","USGS-401743112021301"
"466","USGS-401744111444401"
"467","USGS-401747112005101"
"468","USGS-401751112005501"
"469","USGS-401753111412101"
"470","USGS-401754112014701"
"471","USGS-401754112034301"
"472","USGS-401756112022701"
"473","USGS-401758111451001"
"474","USGS-401801111442501"
"475","USGS-401806112034301"
"476","USGS-401810112060001"
"477","USGS-401812111453001"
"478","USGS-401818112034201"
"479","USGS-401818112042001"
"480","USGS-401820111410801"
"481","USGS-401820111435301"
"482","USGS-401822111392201"
"483","USGS-401827111392401"
"484","USGS-401832111444501"
"485","USGS-401844111445501"
"486","USGS-401850111392201"
"487","USGS-401905111385801"
"488","USGS-401909111440401"
"489","USGS-401920111414801"
"490","USGS-401931112063801"
"491","USGS-401935111443301"
"492","USGS-401935111454001"
"493","USGS-401936111383101"
"494","USGS-401938111454801"
"495","USGS-401944111375301"
"496","USGS-401955111532501"
"497","USGS-401955111532901"
"498","USGS-401955111533001"
"499","USGS-401956111532001"
"500","USGS-401958112071701"
"501","USGS-402006111422301"
"502","USGS-402014111414400"
"503","USGS-402015111422501"
"504","USGS-402022111400001"
"505","USGS-402023112075101"
"506","USGS-402025111453101"
"507","USGS-402026111444201"
"508","USGS-402028111425701"
"509","USGS-402030111431001"
"510","USGS-402033111444201"
"511","USGS-402034111480101"
"512","USGS-402036111444201"
"513","USGS-402037111445401"
"514","USGS-402037111470901"
"515","USGS-402038111444901"
"516","USGS-402038111445001"
"517","USGS-402038111445201"
"518","USGS-402038111445501"
"519","USGS-402040111443001"
"520","USGS-402045111470401"
"521","USGS-402049111444801"
"522","USGS-402050111433901"
"523","USGS-402050111540501"
"524","USGS-402051111473001"
"525","USGS-402052111542001"
"526","USGS-402054111352001"
